Name,Source,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Resistances,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Range Long,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Range Long,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Range Long,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Range Long,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3/Day,2/Day,1/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
Roc,2024 Monster Manual,Gargantuan,Monstrosity,Unaligned,"Arctic, Coastal, Desert, Hill, Mountain","Arctic, Coastal, Desert, Hill, Mountain",,Any,15,248,8,20,,,120,,,9,-4,0,0,5,-1,9,-4,4,4,5,-1,,Perception,,,,,,,,,18,None,11,"7,200",4,,,2,Melee,13,10,,,28,Piercing,Melee,13,5,,,23,Slashing,,,,,,,,,,,,,,,,,Atk 2 on hit grappled and restrained,,,,,,,,,Swoop recharges on 5-6 if grappled fly half its speed without provoking opportunity attacks,,,,,,,,,,,,
Roper,2024 Monster Manual,Large,Aberration,Neutral Evil,Underdark,Underdark,,Any,20,93,5,10,,20,,,,4,-2,-1,3,3,-2,4,-2,-1,3,3,-2,"Perception, Stealth",,,,,,,60,,,16,None,5,"1,800",3,Spider Climb,,4,Melee,7,5,,,17,Piercing,Melee,7,60,,,0,,,,,,,,,,,,,,,,,,"Akt 2 grapples and is poisoned, Reel pull a grappled target 30ft",,,,,,,,,,,,,,,,,,,,,
Rust Monster,2024 Monster Manual,Medium,Monstrosity,Unaligned,Underdark,Underdark,,None,14,33,1,40,,,,,,1,-4,1,1,1,-2,1,-4,1,1,1,-2,,,,,,,,60,,,11,None,1/2,100,2,Iron Scent,,3,Melee,3,5,,,5,Piercing,,,,,,,,,,,,,,,,,,,,,,11,Dexterity,"Antennae target one nonmagical metal within 5ft on fail -1 to AC or attack rolls, Destroy Metal destroy 1ft cube of a metal object not being worn",,,,,,,,,,Reflexive Antennae when hit use Antennae,,,,,,,,,,,
Rusted Behemoth, Forgotten Realms: Adventures in Faerûn,Huge,Construct,Neutral,"Coastal, Forest","Coastal, Forest",,Individual,18,157,0,40,,,,,,6,-2,0,1,4,-2,6,-2,0,1,4,-2,,,,,"Exhaustion, Petrified, Poisoned",Poison,,120,,,11,"Common, Giant",9,"5,000",4,,,3,Melee,10,10,,,20,Bludgeoning,Ranged,10,60/240,60,240,15,Bludgeoning,,,,,,,,,,,,,,,16,Constitution,Atk 2 on hit poisoned,,,,,,,,,,"Rust-Riddled Hide: when hit bludgeoning, piercing, or slashing con save within 5ft on fail poisoned",,,,,,,,,,,
Rusted Berserker, Forgotten Realms: Adventures in Faerûn,Medium,Construct,Neutral,"Coastal, Forest","Coastal, Forest",,Individual,16,82,2,30,,,,,,4,-2,2,0,3,-2,4,-2,2,0,3,-2,,,,,"Exhaustion, Petrified, Poisoned",Poison,,,,,10,Common,4,"1,100",2,,,2,Melee,6,5,,,11,Slashing,Melee,6,5,,,11,Piercing,Ranged,6,30/120,30,120,11,Piercing,,,,,,,,,,Any atk on hit poisoned,,,,,,,,,,,,,,,,,,,,,
Rusted Wyrm, Forgotten Realms: Adventures in Faerûn,Gargantuan,Construct,Neutral,"Coastal, Forest","Coastal, Forest",,Individual,20,231,6,40,,,,,60,7,-1,1,2,6,-2,7,-1,1,2,6,-2,,,,,"Exhaustion, Frightened, Petrified, Poisoned","Fire, Poison",,120,,,12,"Common, Draconic",14,"11,500",5,,3,2,Melee,12,20,,,29,Piercing,,,,,,,,,,,,,,,,,,,,,,19,"Constitution, Dexterity",Stream Breath: 60ft cone on fail 45 fire damage and burning,,,,,,,,,"Encasing Rust: Con save in within 20ft on fail 14 poison, posion and paralyzed",,,,,,,,,,,,
Saber-Toothed Tiger,2024 Monster Manual,Large,Beast,Unaligned,"Arctic, Hill, Mountain","Arctic, Hill, Mountain",,None,13,52,3,40,,,,,,4,-4,3,1,2,-1,6,-4,5,1,2,-1,,"Perception, Stealth",,,,,,60,,,15,None,2,450,2,Running Leap,,2,Melee,6,5,,,11,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disengage or Hide,,,,,,,,,,,,
Sahuagin Baron,2024 Monster Manual,Large,Fiend,Lawful Evil,"Coastal, Underwater","Coastal, Underwater",,Any,16,76,5,30,,,,,50,4,2,2,1,3,3,4,2,5,4,6,3,,Perception,,"Acid, Cold",,,,120,,,17,Sahuagin,5,"1,800",3,"Blood Frenzy, Limited Amphibiousness, Shark Telepathy",,3,Melee,7,5,,,13,Piercing,Ranged,7,20/60,20,60,13,Piercing,,,,,,,,,,,,,,,14,Constitution,,,,,,,,,,Fiendish Blood if it takes piercing or slashing damage within 5ft on fail 10 acid damage cursed and can't benefit from a short or a long rest or be invisible speed is reduced by 10 and fiends know where the target is at,,,,,,,,,,,,
Sahuagin Priest,2024 Monster Manual,Medium,Fiend,Lawful Evil,"Coastal, Underwater","Coastal, Underwater",,Any,12,38,0,30,,,,,40,1,1,0,2,1,1,1,1,0,2,1,1,Religion,Perception,,"Acid, Cold",,,,120,,,16,Sahuagin,2,450,2,"Blood Frenzy, Limited Amphibiousness, Shark Telepathy",,2,Melee,4,5,,,11,Force,Ranged,4,120,120,,11,Force,,,,,,,,,,,,,,,,,,Wisdom,12,Wisdom,4,Thaumaturgy,,"Bless, Healing Word, Hold Person, Tongues",,Fiendish Aid (2/day) cast bless or healing word,,,,,,,,,,,,
Sahuagin Warrior,2024 Monster Manual,Medium,Fiend,Lawful Evil,"Coastal, Underwater","Coastal, Underwater",,Any,12,22,0,30,,,,,40,1,1,0,1,1,-1,1,1,0,1,1,-1,,Perception,,"Acid, Cold",,,,120,,,15,Sahuagin,1/2,100,2,"Blood Frenzy, Limited Amphibiousness, Shark Telepathy",,2,Melee,3,5,,,4,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquatic Charge swim p to its speed,,,,,,,,,,,,
Salamander,2024 Monster Manual,Large,Elemental,Neutral Evil,"Planar (Elemental Plane of Fire), Underdark","Planar, Underdark",Elemental Plane of Fire,Armaments,15,90,2,30,,30,,,,4,0,2,0,2,1,4,0,2,0,2,1,,,Cold,,,Fire,,60,,,10,Primordial (Ignan),5,"1,800",3,Fire Aura,,2,Melee,7,5,,,20,"Piercing, Fire",Ranged,7,20/60,20,60,20,"Piercing, Fire",,,,,,,,,,,,,,,15,Strength,Constrict within 10ft on fail 18 bludgeoning and fire damage grappled and restrained,,,,,,,,,,,,,,,,,,,,,
Salamander Fire Snake,2024 Monster Manual,Medium,Elemental,Neutral Evil,"Planar (Elemental Plane of Fire), Underdark","Planar, Underdark",Elemental Plane of Fire,Armaments,14,27,2,30,,30,,,,1,-2,2,0,0,-1,1,-2,2,0,0,-1,,,Cold,,,Fire,,60,,,10,Understands Primordial,1,200,2,Fire Aura,,1,Melee,4,5,,,9,"Piercing, Fire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamander Inferno Master,2024 Monster Manual,Large,Elemental,Neutral Evil,"Planar (Elemental Plane of Fire), Underdark","Planar, Underdark",Elemental Plane of Fire,Armaments,18,256,8,40,,40,,,,7,2,3,0,4,5,7,2,8,5,4,5,,,Cold,,,Fire,,120,,,10,Primordial (Ignan),15,"13,000",5,"Fire Aura, Magic Resistance",,2,Melee,12,5,,,30,"Piercing, Fire",Ranged,12,30/90,30,90,30,"Piercing, Fire",,,,,,,,,,,,,,,18,Dexterity,Inferno Blast recharges on 5-6 30ft sphere on fail 35 damage and 5 fire damage every tune and 1 exhaustion level,,,,,,,,,Blazing Movement dashes without taking attacks of opportunity and if he moves through a target space they take 7 fire damage,,,,,,,,,,,,
Sammaster (Dracolich Form), Forgotten Realms: Adventures in Faerûn,Huge,Undead,Chaotic Evil,None (NPC),None,NPC,None (NPC),20,276,14,40,30,,80,,,7,6,0,2,5,5,7,13,7,9,12,5,History,"Arcana, Perception",,,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned","Acid, Necrotic, Poison",60,120,,,26,"Common, Draconic, Infernal",22,"41,000",7,"Life Suppression, Magic Resistance, Soul Gem",3,3,Melee,14,10,,,36,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,20,Constitution,Corroding Breath: Con save 90ft cone on fail 52 acid or necrotic,Intelligence,21,Constitution,13,"Blight, Detect Magic, Dispel Magic, Mage Hand, Prestidigitation, Ray of Sickness (level 6)",,"Dimension Door, Speak with Dead","Create Undead (Level 8), Power Word Kill",,,3,21,Wisdom,"Pounce: move 1/2 speed and atk once, Sickening Ray: cast ray of sickness, Terrifying Presence: within 20ft on fail 13 psychic and frightened",,,,,,,
Sammaster (Lich Form), Forgotten Realms: Adventures in Faerûn,Medium,Undead (Wizard),Chaotic Evil,None (NPC),None,NPC,None (NPC),22,322,16,30,,,,,,1,6,2,2,3,5,1,13,9,9,10,5,"History, Perception",Arcana,,,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned","Acid,Cold, Lightning",60,120,,,19,"Common, Draconic, Infernal",22,"41,000",7,"Life Suppression, Magic Resistance, Soul Gem",3,3,Melee,13,5,,,38,Acid or Necrotic,Ranged,13,120,120,,38,Acid or Necrotic,Melee,13,5,,,16,Cold,,,,,,,,,,Atk 3 on hit paralyzed,Intelligence,21,"Constitution, Dexterity",13,"Cone of Cold, Counterspell, Detect Magic, Dispel Magic, Invisibility, Mage Hand, Prestidigitation, Shield",,"Speak with Dead, Wall of Force","Create Undead (Level 8), Disintegrate, Power Word Kill",,Protectice Magic: Cast counterspell or shield,3,21,Wisdom,"Deathly Teleport: Teleport 60ft anyone within 10ft 19 necrotic, Dissolve: Atk 1 Terrifying Presence: within 20ft on fail 13 psychic and frightened",,,,,,,
Satyr,2024 Monster Manual,Medium,Fey,Chaotic Neutral,"Forest, Planar (Feywild)","Forest, Planar",Feywild,Implements,13,31,3,40,,,,,,1,1,3,0,0,2,1,1,3,0,0,2,"Perception, Stealth",Performance,,,,,,,,,12,"Common, Elvish, Sylvan",1/2,100,2,Magic Resistance,,1,Melee,5,5,,,5,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,12,Wisdom,"Akt 1 pushes 10ft on hit, Mockery 90ft on fail 5 psychic damage",,,,,,,,,,,,,,,,,,,,,
Satyr Revelmaster,2024 Monster Manual,Medium,Fey,Chaotic Neutral,"Forest, Planar (Feywild)","Forest, Planar",Feywild,Implements,17,82,7,40,,,,,,1,1,4,2,1,3,1,1,7,5,1,3,"Acrobatics, Perception",Performance,,,,,,,,,15,"Common, Elvish, Sylvan",6,"2,300",3,Magic Resistance,,3,Melee,7,5,,,13,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,14,Wisdom,"Akt 1 charmed on hit, Fey Melody recharges on 4-6 within 60ft on fail are charmed or takes 10 psychic damage and is frightened",,,,,,,,,,,,,,,,,,,,,
Scarecrow,"2024 Monster Manual,  Stranger Things: Welcome to the Hellfire Club",Medium,Construct,Chaotic Evil,Grassland,Grassland,,None,11,27,3,20,,,,,,0,0,1,0,0,1,0,0,1,0,0,1,,,Fire,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned, Unconscious",Poison,,60,,,10,Common plus one other language,1,200,2,,,1,Melee,3,5,,,6,Slashing,,,,,,,,,,,,,,,,,,,,,,11,Wisdom,"Akt 1 on hit frightened, Terrifying Glare within 30ft on fail frightened and paralyzed",,,,,,,,,,,,,,,,,,,,,
Scorpion,2024 Monster Manual,Tiny,Beast,Unaligned,Desert,Desert,,None,11,1,0,10,,,,,,-4,-5,0,-1,-1,-4,-4,-5,0,-1,-1,-4,,,,,,,10,,,,9,None,0,10,2,,,1,Melee,2,5,,,4,"Piercing,Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout,2024 Monster Manual,Medium or Small,Humanoid,Neutral,Any,Any,,"Implements, Individual",13,16,2,30,,,,,,0,0,2,1,1,0,0,0,2,1,1,0,,"Nature,Perception, Stealth, Survival",,,,,,,,,15,Common plus one other language,1/2,100,2,,,2,Melee,4,5,,,5,Piercing,Ranged,4,150/600,150,600,6,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout Captain,2024 Monster Manual,Medium or Small,Humanoid,Neutral,Any,Any,,"Implements, Individual",15,66,5,30,,,,,,0,2,3,2,1,0,0,4,5,2,1,0,,"Perception, Stealth, Survival",,,,,,,,,16,Common plus one other language,3,700,2,,,2,Melee,5,5,,,6,Piercing,Ranged,5,150/600,150,600,7,Piercing,,,,,,,,,,,,,,,,,Atk 1 and Atk 2 +10 damage if they have advantage,,,,,,,,,Aim has advantage on the next attack roll,Uncanny Dodge,,,,,,,,,,,
Sea Hag,2024 Monster Manual,Medium,Fey (Hag),Chaotic Evil,"Coastal, Underwater","Coastal, Underwater",,Arcana,14,52,1,30,,,,,40,3,1,1,1,3,1,3,1,1,1,3,1,,,,,,,,60,,,11,"Common, Giant, Primordial (Aquan)",2,450,2,"Amphibious, Coven Magic, Vile Appearance",,1,Melee,5,5,,,10,Slashing,,,,,,,,,,,,,,,,,,,,,,11,Wisdom,"Death Glare recharges on 5-6 on fail and target is frightened and if less than 21 hp drops to 0 otherwise takes 13 psychic damage, Cast disguise self",,,,,,,,,,,,,,,,,,,,,
Seahorse,2024 Monster Manual,Tiny,Beast,Unaligned,Underwater,Underwater,,None,12,1,1,5,,,,,20,-5,-5,1,0,-1,-4,-5,-5,1,0,-1,-4,Perception,Stealth,,,,,,,,,12,None,0,0,2,Water Breathing,,0,Melee,0,0,,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,Dash without provoking opportunity attacks,,,,,,,,,,,,,,,,,,,,,
Sentinel Marshal,Eberrron: Forge of the Artificer,Medium or Small,Humanoid (Human),Neutral,None (NPC),None,NPC,None,16,110,10,30,,,,,,4,0,4,2,1,0,4,0,7,2,4,0,"Athletics, Insight",Perception,,,,,,,,,18,"Common, Plus two other languages",6,"2,300",3,,,3,Melee,7,5,,,13,Slashing,Ranged,7,30/90,30,90,15,Piercing,,,,,,,,,,,,,,,,,Atk 1 on hit target has dis. adv. on next atk,Wisdom,13,,5,,Shield,,,,Cast shield,,,,,,,,,,,
Shadow,"2024 Monster Manual,  Stranger Things: Welcome to the Hellfire Club",Medium,Undead,Chaotic Evil,"Planar (Shadowfell), Underdark, Urban","Planar, Underdark, Urban",Shadowfell,None,12,27,2,40,,,,,,-2,-2,2,0,1,-1,-2,-2,2,0,1,-1,,Stealth,Radiant,"Acid, Cold, Fire, Lightning, Thunder","Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","Necrotic, Poison",,60,,,10,None,1/2,100,2,"Amorphous, Sunlight Weakness",,1,Melee,4,5,,,5,Necrotic,,,,,,,,,,,,,,,,,,,,,,,,On a hit -1d4 to strength score if strength is reduced to 0 then dead,,,,,,,,,Shadow Stealth Hide in dim light or darkness,,,,,,,,,,,,
Shadow Demon,2024 Monster Manual,Medium,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,None,14,66,3,30,,,30,30,,-5,2,3,1,1,2,-5,2,5,1,1,4,,Stealth,Radiant,"Acid, Bludgeoning, Cold, Fire, Lightning, Piercing, Slashing, Thunder","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained","Necrotic, Poison",,120,,,11,"Abyssal, Telepathy",4,"1,100",2,"Demonic Restoration, Incorporeal Movement, Light Sensitivity",,1,Melee,5,5,,,16,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shadow Stealth can take the hide action in dim light or darkness,,,,,,,,,,,,
Shadow Dragon,2024 Monster Manual,Huge or Large,Dragon (Chromatic),Chaotic Evil,"Planar (Shadowfell), Underdark","Planar, Underdark",Shadowfell,Any,16,189,14,40,,40,80,,,5,2,4,1,4,4,5,2,9,6,4,4,,"Perception, Stealth",,,,,30,120,,,21,"Common, Draconic",13,"10,000",5,"Living Shadow, Sunlight Sensitivity",3,3,Melee,10,10,,,15,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,17,Dexterity,Shadow Breath recharges 5-6 60ft coone 35 Necrotic if reduces a humanoid to 0 a shadow rises from its corpse,,,,,,,,,Take the hide action in dim light or darkness,,3,,,"Pounce, Hide: and does 10 Necrotic Damage",Yes,"11,500",4,4,,,
Shadow-Marked Agent,Eberrron: Forge of the Artificer,Medium,Humanoid (Elf),Neutral,None (NPC),None,NPC,None,17,132,8,30,,,,,,1,0,5,3,1,3,1,0,8,6,1,3,"Perception, Performance, Sleight of Hand",Stealth,,,,,,,,,16,"Common, Elvish, Thieves' Cant",7,"2,900",3,,,2,Melee,8,5,,,24,"Piercing, Necrotic",Ranged,8,20/60,20,60,24,"Piercing, Necrotic",,,,,,,,,,,,,,,,,,Charisma,14,,6,"Disguise Self, Minor Illusion",,,Pass without Trace,Shadow Cloak becomes invisible,,,,,,,,,,,,
Shadowmoor Giant,Lorwyn: First Light,Huge,Giant,Chaotic Evil,Planar (Feywild),Planar,Feywild,Arcana,14,172,2,40,,,,,,6,-2,2,4,5,-1,6,-2,2,7,8,-1,,,,,,,,120,,,14,Giant,8,"3,900",3,,,3,Melee,9,15,,,17,Bludgeoning,Ranged,9,60/240,60,240,13,Bludgeoning,,,,,,,,,,,,,,,15,Dexterity,"Wild Magic Cataclysm creatures in a 20ft sphere within 120ft on fail 28 damage either acid, fire, lightning, or thunder half on fail",,,,,,,,,,,,,,,,,,,,,
Shambling Mound,2024 Monster Manual,Large,Plant,Unaligned,"Forest, Swamp","Forest, Swamp",,None,15,110,-1,30,,,,,20,4,-3,-1,0,3,-3,4,-3,-1,0,3,-3,Stealth,,,"Cold, Fire","Deafened, Exhaustion",Lightning,60,,,,10,None,5,"1,800",3,Lightning Absorption,,3,Melee,7,10,,,12,"Bludgeoning, Lightning",,,,,,,,,,,,,,,,,,,,,,15,Strength,"Atk 1 on hit pulls 5ft, Engulf within 5ft grappled blinded restrained and 10 lighting damage every round",,,,,,,,,,,,,,,,,,,,,
Shield Guardian,2024 Monster Manual,Large,Construct,Unaligned,Urban,Urban,,None,17,142,-1,30,,,,,,4,-2,-1,0,4,-4,4,-2,-1,0,4,-4,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Poison,10,60,,,10,Understands all,7,"2,900",3,"Bound, Regeneration, Spell Storing",,2,Melee,7,10,,,18,"Bludgeoning, Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protection on hit +5 AC,,,,,,,,,,,
Shrieker Fungus,"2024 Monster Manual,  Stranger Things: Welcome to the Hellfire Club",Medium,Plant,Unaligned,Underdark,Underdark,,None,5,13,-5,5,,,,,,-5,-5,-5,-4,0,-5,-5,-5,-5,-4,0,-5,,,,,"Blinded, Charmed, Deafened, Frightened",,30,,,,6,None,0,0,2,,,0,Melee,0,0,,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shriek When there is light it makes a shriek that be heard 300ft away,,,,,,,,,,,
Silver Dragon Wyrmling,2024 Monster Manual,Medium,Dragon (Metallic),Lawful Good,"Mountain, Urban","Mountain, Urban",,Arcana,17,45,2,30,,,60,,,4,1,0,0,3,2,4,1,2,2,3,2,Stealth,Perception,,,,Cold,10,60,,,14,Draconic,2,450,2,,,2,Melee,6,5,,,9,Piercing,,,,,,,,,,,,,,,,,,,,,,13,Constitution,"Cold Breath 15ft coone 18 cold damage, Paralyzing breath 15ft coone on fail incapacitated second fail paralyzed",,,,,,,,,,,,,,,,,,,,,
Sivis Scribe,Eberrron: Forge of the Artificer,Small,Humanoid (Gnome),Neutral,None (NPC),None,NPC,None,15,56,2,30,,,,,,0,3,2,1,0,0,0,3,2,3,0,0,"Arcana, Sleight of Hand",,,,,,,60,,,11,"Common, Gnomish, Plus three other languages",3,700,2,Words of Reason Allies within 10 ft have adv. on saving throws to aviod or end the charmed or frightened condition,,2,Melee,5,5,,,13,Radiant,Ranged,5,60,60,,13,Radiant,,,,,,,,,,,,,,,13,Constitution,,Intelligence,13,,5,"Comprehend Languages, Mage Armor, Message",,,Sending,Word of Stasis 20ft sphere within 60ft on fail the target is incapacitated,,,,,,,,,,,,
Skeleton,2024 Monster Manual,Medium,Undead,Lawful Evil,"Planar (Shadowfell), Underdark, Urban","Planar, Underdark, Urban",Shadowfell,None,13,13,3,30,,,,,,0,-2,3,-1,2,-3,0,-2,3,-1,2,-3,,,Bludgeoning,,"Exhaustion, Poisoned",Poison,,60,,,9,What it knew in a past life,1/4,50,2,,,1,Melee,5,5,,,6,Piercing,Ranged,5,80/320,80,320,6,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaad Tadpole,2024 Monster Manual,Tiny,Aberration (Slaad),Chaotic Neutral,Planar (Limbo),Planar,Limbo,Any,12,7,2,30,10,,,,,-2,-4,2,-3,0,-4,-2,-4,2,-3,0,-4,Stealth,,,"Acid, Cold, Fire, Lightning, Thunder",,,,60,,,7,Slaad,1/8,25,2,Magic Resistance,,1,Melee,4,5,,,5,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke Mephit,2024 Monster Manual,Small,Elemental,Neutral Evil,Planar (Elemental Planes),Planar,Elemental Planes,None,12,13,2,30,,,30,,,-2,0,2,0,1,0,-2,0,2,0,1,0,"Perception, Stealth",,,,"Exhaustion, Poisoned","Fire, Poison",,60,,,12,"Primordial (Auran, Ignan)",1/4,50,2,Death Burst,,1,Melee,4,5,,,4,Slashing,,,,,,,,,,,,,,,,,,,,,,11,"Constitution, Dexterity",Cinder Breath recharges on 6 within 15ft on fail blinded,,,,,,,,,,,,,,,,,,,,,
Solar,2024 Monster Manual,Large,Celestial (Angel),Lawful Good,Planar (Upper Planes),Planar,Upper Planes,Any,21,297,20,50,,,150,150,,8,7,6,7,8,10,8,7,6,7,8,10,Perception,,,,"Charmed, Exhaustion, Frightened, Poisoned","Poison, Radiant",,,120,,24,"All, Telepathy",21,"33,000",7,"Divine Awareness, Exalted Restoration, Magic Resistance",4,2,Melee,15,10,,,58,"Slashing, Radiant",Ranged,15,120,120,,58,"Slashing, Radiant",,,,,,,,,,,,,,,21,Dexterity,Slaying Bow within 600ft if failed and less than 101 hp it dies if not 60 Piercing and Radiant damage,Charisma,25,Charisma,17,Detect Evil and Good,"Cure Wounds (level 2), Lesser Restoration,  Remove Curse",,"Commune, Control Weather, Dispel Evil and Good, Resurrection","Cast Cure Wounds (level 2), Lesser Restoration, or Remove Curse",,3,25,"Constitution, Dexterity","Blinding Gaze: within 120ft and failed blinded, Radiant Teleport: they teleport 60ft and everyone within 10ft takes 11 radiant damage on fail",,,,,,,
Speaker Devil, Astarion's Book of Hungers,Large,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Urban,17,189,4,30,,,30,,,5,6,4,4,5,3,5,10,4,8,9,7,"Arcana, History, Perception",,,Cold,Poisoned,"Fire, Poison",,120,,,18,"Infernal, Telepathy",12,"8,400",4,"Diabolic Restoration, Magic Resistance",,2,Melee,9,10,,,30,"Slashing, Thunder",,,,,,,,,,,,,,,,,,,,,,18,"Constitution, Wisdom",,Intelligence,18,Wisdom,10,"Detect Magic, Detect Thoughts",,"Dimension Door, Modify Memory",,"Utterance of Pain within 20ft on fail wis save stunned, Utterance of Unmaking within 20ft on fail con save 22 force damage half a save",,,,,,,,,,,,
Spectator,2024 Monster Manual,Medium,Aberration (Beholder),Lawful Neutral,Underdark,Underdark,,Any,14,45,2,5,,,30,30,,-1,1,2,2,2,0,-1,1,2,2,2,0,,Perception,,,,,,120,,,16,"Deep Speech, Undercommon, Telepathy",3,700,2,,,2,Melee,4,5,,,5,Piercing,,,,,,,,,,,,,,,,,,,,,,12,"Wisdom, Constitution","Eye Rays: 5 psychic damage no reactions or movement and attacks a random person, Paralyzed, 5 psychic damage and frightened, 16 necrotic damage",,,,,,,,,,Reflects missed spells or saved spells 10 force damage,,,,,,,,,,,
Specter,2024 Monster Manual,Medium,Undead,Chaotic Evil,"Underdark, Urban","Underdark, Urban",,None,12,22,2,30,,,50,50,,-5,0,2,0,0,0,-5,0,2,0,0,0,,,,"Acid, Bludgeoning, Cold, Fire, Lightning, Piercing, Slashing,  Thunder","Charmed, Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","Necrotic, Poison",,60,,,10,"Understands Common, Another language",1,200,2,"Incorporeal Movement, Sunlight Sensitivity",,1,Melee,4,5,,,7,Necrotic,,,,,,,,,,,,,,,,,,,,,,,,On hit HP max decreased by damage taken,,,,,,,,,,,,,,,,,,,,,
Sphinx of Lore,2024 Monster Manual,Large,Celestial,Lawful Neutral,"Desert, Plannar (Upper Planes)","Desert, Plannar",Upper Planes,Arcana,17,170,10,40,,,60,,,4,4,2,4,3,4,4,4,2,4,3,4,Perception,"Arcana, History, Religion",,"Necrotic, Radiant","Charmed, Frightened",Psychic,,,120,,18,"Celestia, Common",11,"7,200",4,Inscrutable,3,3,Melee,8,5,,,14,Slashing,,,,,,,,,,,,,,,,,,,,,,16,Wisdom,Mind-Rending Roar recharges on 5-6 each enemy within 300ft on fail 35 psychic and are incapacitated,Intelligence,16,,8,"Detect Magic, Identify, Mage Hand, Minor Illusion, Prestidigitation",,,"Dispel Magic, Legend Lore, Locate Object, Plane Shift, Remove Curse, Tongues",,,3,16,Constitution,"Arcane Prowl: teleport 30ft and atks, Weight: of years within 120ft on fail targets gains 1 exhaustion level",Yes,"8,400",4,4,,,Cast Clairvoyance in 1 mile radius
Sphinx of Secrets,2024 Monster Manual,Large,Celestial,Lawful Neutral,"Desert, Plannar (Upper Planes)","Desert, Plannar",Upper Planes,Arcana,16,136,5,40,,,60,,,4,4,2,4,3,4,4,4,2,4,3,4,"History, Perception, Religion",,,"Necrotic, Radiant","Charmed, Frightened",Psychic,,,120,,17,"Celestia, Common",8,"3,900",3,"Inscrutable, Magic Resistance",,3,Melee,7,5,,,20,"Slashing, Radiant",,,,,,,,,,,,,,,,,,,,,,15,Intelligence,Curse of the Riddle within 60 ft on fail 21 psychic damage and cursed with disadvantage on ability checks and attack rolls and if they take the magic action they must make the save first,Intelligence,15,,7,"Detect Magic, Identify, Prestidigitation",,,"Locate Object, Remove Curse",,,,,,,,,,,,,
